car_model_link,car_model_name,car_series_name
"/car-specs/Toyota/116748/Toyota-HiLux-2019-Extra-Cab-24-D-4D-4WD.html,/car-specs/Toyota/M10692/HiLux-2019-Extra-Cab,/car-specs/Toyota/M10692/HiLux-2019-Extra-Cab","Toyota HiLux 2019 Extra-Cab 2.4 D-4D 4WD Car Specs,View more information about Toyota HiLux 2019 Extra-Cab",HiLux 2019 Extra-Cab
"/car-specs/Toyota/115126/Toyota-Corolla-E210-Hatchback-12-Turbo.html,/car-specs/Toyota/116758/Toyota-Corolla-E210-Hatchback-12-Turbo-Auto.html,/car-specs/Toyota/115130/Toyota-Corolla-E210-Hatchback-18-Hybrid.html,/car-specs/Toyota/115135/Toyota-Corolla-E210-Hatchback-20-Hybrid.html,/car-specs/Toyota/M10223/Corolla-E210-Hatchback,/car-specs/Toyota/M10223/Corolla-E210-Hatchback","Toyota Corolla E210 Hatchback 1.2 Turbo Car Specs,Toyota Corolla E210 Hatchback 1.2 Turbo Auto Car Specs,Toyota Corolla E210 Hatchback 1.8 Hybrid Car Specs,Toyota Corolla E210 Hatchback 2.0 Hybrid Car Specs,View more information about Toyota Corolla E210 Hatchback",Corolla E210 Hatchback
"/car-specs/Toyota/119000/Toyota-Avalon-(XX50)-35-V6.html,/car-specs/Toyota/118999/Toyota-Avalon-(XX50)-Hybrid.html,/car-specs/Toyota/M10636/Avalon-(XX50),/car-specs/Toyota/M10636/Avalon-(XX50)","Toyota Avalon (XX50) 3.5 V6 Car Specs,Toyota Avalon (XX50) Hybrid Car Specs,View more information about Toyota Avalon (XX50)",Avalon (XX50)
"/car-specs/Toyota/116745/Toyota-HiLux-2019-Single-Cab-24-D-4D-2WD.html,/car-specs/Toyota/116746/Toyota-HiLux-2019-Single-Cab-24-D-4D-4WD.html,/car-specs/Toyota/M10693/HiLux-2019-Single-Cab,/car-specs/Toyota/M10693/HiLux-2019-Single-Cab","Toyota HiLux 2019 Single-Cab 2.4 D-4D 2WD Car Specs,Toyota HiLux 2019 Single-Cab 2.4 D-4D 4WD Car Specs,View more information about Toyota HiLux 2019 Single-Cab",HiLux 2019 Single-Cab
"/car-specs/Toyota/118724/Toyota-Proace-City-Long-12-Turbo-130HP.html,/car-specs/Toyota/118721/Toyota-Proace-City-Long-12-Turbo-110HP.html,/car-specs/Toyota/118719/Toyota-Proace-City-12-Turbo-130HP.html,/car-specs/Toyota/118718/Toyota-Proace-City-12-Turbo-110HP.html,/car-specs/Toyota/118391/Toyota-Proace-City-Long-15-D-4D-130HP-Auto.html,/car-specs/Toyota/118390/Toyota-Proace-City-Long-15-D-4D-130HP.html,/car-specs/Toyota/118389/Toyota-Proace-City-Long-15-D-4D-100HP.html,/car-specs/Toyota/118385/Toyota-Proace-City-15-D-4D-75HP.html,/car-specs/Toyota/118388/Toyota-Proace-City-15-D-4D-130HP-Auto.html,/car-specs/Toyota/118387/Toyota-Proace-City-15-D-4D-130HP.html,/car-specs/Toyota/118386/Toyota-Proace-City-15-D-4D-100HP.html,/car-specs/Toyota/M10571/Proace-City,/car-specs/Toyota/M10571/Proace-City","Toyota Proace City Long 1.2 Turbo 130HP Car Specs,Toyota Proace City Long 1.2 Turbo 110HP Car Specs,Toyota Proace City 1.2 Turbo 130HP Car Specs,Toyota Proace City 1.2 Turbo 110HP Car Specs,Toyota Proace City Long 1.5 D-4D 130HP Auto Car Specs,Toyota Proace City Long 1.5 D-4D 130HP Car Specs,Toyota Proace City Long 1.5 D-4D 100HP Car Specs,Toyota Proace City 1.5 D-4D 75HP Car Specs,Toyota Proace City 1.5 D-4D 130HP Auto Car Specs,Toyota Proace City 1.5 D-4D 130HP Car Specs,Toyota Proace City 1.5 D-4D 100HP Car Specs,View more information about Toyota Proace City",Proace City
"/car-specs/Toyota/115151/Toyota-Corolla-E210-Sedan-18-Hybrid.html,/car-specs/Toyota/122224/Toyota-Corolla-E210-Sedan-18-Hybrid-GR-Sport.html,/car-specs/Toyota/M10683/Corolla-E210-Sedan,/car-specs/Toyota/M10683/Corolla-E210-Sedan","Toyota Corolla E210 Sedan 1.8 Hybrid Car Specs,Toyota Corolla E210 Sedan 1.8 Hybrid GR Sport Car Specs,View more information about Toyota Corolla E210 Sedan",Corolla E210 Sedan
"/car-specs/Toyota/116753/Toyota-HiLux-2019-Double-Cab-24-D-4D-4WD.html,/car-specs/Toyota/116749/Toyota-HiLux-2019-Double-Cab-24-D-4D-4WD-2-seats.html,/car-specs/Toyota/116751/Toyota-HiLux-2019-Double-Cab-24-D-4D-4WD-2-seats-Auto.html,/car-specs/Toyota/116755/Toyota-HiLux-2019-Double-Cab-24-D-4D-4WD-Auto.html,/car-specs/Toyota/M10384/HiLux-2019-Double-Cab,/car-specs/Toyota/M10384/HiLux-2019-Double-Cab","Toyota HiLux 2019 Double-Cab 2.4 D-4D 4WD Car Specs,Toyota HiLux 2019 Double-Cab 2.4 D-4D 4WD 2-seats Car Specs,Toyota HiLux 2019 Double-Cab 2.4 D-4D 4WD 2-seats Auto Car Specs,Toyota HiLux 2019 Double-Cab 2.4 D-4D 4WD Auto Car Specs,View more information about Toyota HiLux 2019 Double-Cab",HiLux 2019 Double-Cab
"/car-specs/Toyota/115072/Toyota-RAV4-(XA50)-20-VVT-iE-2WD.html,/car-specs/Toyota/115074/Toyota-RAV4-(XA50)-20-VVT-iE-2WD-Auto.html,/car-specs/Toyota/114814/Toyota-RAV4-(XA50)-25-Hybrid-2WD.html,/car-specs/Toyota/115077/Toyota-RAV4-(XA50)-25-Hybrid-AWD.html,/car-specs/Toyota/125626/Toyota-RAV4-(XA50)-25-Plug-in-Hybrid-AWD-Business.html,/car-specs/Toyota/M10220/RAV4-(XA50),/car-specs/Toyota/M10220/RAV4-(XA50)","Toyota RAV4 (XA50) 2.0 VVT-iE 2WD Car Specs,Toyota RAV4 (XA50) 2.0 VVT-iE 2WD Auto Car Specs,Toyota RAV4 (XA50) 2.5 Hybrid 2WD Car Specs,Toyota RAV4 (XA50) 2.5 Hybrid AWD Car Specs,Toyota RAV4 (XA50) 2.5 Plug-in Hybrid AWD Business Car Specs,View more information about Toyota RAV4 (XA50)",RAV4 (XA50)
"/car-specs/Toyota/116466/Toyota-Supra-J29-GR-30-Legend.html,/car-specs/Toyota/116467/Toyota-Supra-J29-GR-30-Legend-Premium.html,/car-specs/Toyota/118956/Toyota-Supra-J29-GR-20.html,/car-specs/Toyota/M10371/Supra-J29,/car-specs/Toyota/M10371/Supra-J29","Toyota Supra J29 GR 3.0 Legend Car Specs,Toyota Supra J29 GR 3.0 Legend Premium Car Specs,Toyota Supra J29 GR 2.0 Car Specs,View more information about Toyota Supra J29",Supra J29
"/car-specs/Toyota/114032/Toyota-Prius-(XW50-Facelift)-18-Hybrid.html,/car-specs/Toyota/116206/Toyota-Prius-(XW50-Facelift)-18-Hybrid.html,/car-specs/Toyota/M10690/Prius-(XW50-Facelift),/car-specs/Toyota/M10690/Prius-(XW50-Facelift)","Toyota Prius (XW50 Facelift) 1.8 Hybrid Car Specs,Toyota Prius (XW50 Facelift) 1.8 Hybrid Car Specs,View more information about Toyota Prius (XW50 Facelift)",Prius (XW50 Facelift)
